Id,employee_id,employeeNo,name,gender,contactNo,email,empStatus,designation,departments,grade,increment,scale,basic,account_number,e_tin,chargeAllw,telephoneAllwance,AdditionalDesignation,dearnessAllw,houseAllw,medicalAllw,educationAllw,festivalAllw,researchAllw,newBdYrAllw,recreationAllw,otherAllw,gpf,gpfInstallment,houseDed,benevolentFund,insurance,electricity,hrdExtra,clubSubscription,assoSubscription,transportBill,telephoneBill,pensionFund,fishBill,incomeTax,donation,guestHouseRent,houseLoanInstallment_1,houseLoanInstallment_2,houseLoanInstallment_3,salaryAdjustment,revenue,otherDed,month,year
1,1,EMP00001,Employee 1,0,0198227521863,employee1@example.com,1,Assistant Professor,Mechanical Engineering,5,6,26265,36850,2000529389014,349467210,3444,99,,871,130,661,308,769,343,491,413,293,2433,191,443,276,160,57,21,88,48,58,169,187,79,1806,189,445,686,957,562,875,566,243,1,2025
2,1,EMP00001,Employee 1,0,0198227521863,employee1@example.com,1,Assistant Professor,Mechanical Engineering,5,6,26265,36850,2000529389014,349467210,3444,99,,871,130,661,308,769,343,491,413,293,2433,191,443,276,160,57,21,88,48,58,169,187,79,1806,189,445,686,957,562,875,566,243,2,2025
3,1,EMP00001,Employee 1,0,0198227521863,employee1@example.com,1,Assistant Professor,Mechanical Engineering,5,6,26265,36850,2000529389014,349467210,3444,99,,871,130,661,308,769,343,491,413,293,2433,191,443,276,160,57,21,88,48,58,169,187,79,1806,189,445,686,957,562,875,566,243,3,2025
4,1,EMP00001,Employee 1,0,0198227521863,employee1@example.com,1,Assistant Professor,Mechanical Engineering,5,6,26265,36850,2000529389014,349467210,3444,99,,871,130,661,308,769,343,491,413,293,2433,191,443,276,160,57,21,88,48,58,169,187,79,1806,189,445,686,957,562,875,566,243,4,2025
5,1,EMP00001,Employee 1,0,0198227521863,employee1@example.com,1,Assistant Professor,Mechanical Engineering,5,6,26265,36850,2000529389014,349467210,3444,99,,871,130,661,308,769,343,491,413,293,2433,191,443,276,160,57,21,88,48,58,169,187,79,1806,189,445,686,957,562,875,566,243,5,2025
6,2,EMP00002,Employee 2,0,0198572190436,employee2@example.com,1,Assistant Professor,Civil Engineering,7,4,34502,41777,2000954206851,925500248,2363,13,,241,2041,776,345,564,897,339,91,366,1478,427,263,430,34,80,163,49,103,1,53,105,3,1500,190,401,729,1579,161,201,957,483,1,2025
7,2,EMP00002,Employee 2,0,0198572190436,employee2@example.com,1,Assistant Professor,Civil Engineering,7,4,34502,41777,2000954206851,925500248,2363,13,,241,2041,776,345,564,897,339,91,366,1478,427,263,430,34,80,163,49,103,1,53,105,3,1500,190,401,729,1579,161,201,957,483,2,2025
8,2,EMP00002,Employee 2,0,0198572190436,employee2@example.com,1,Assistant Professor,Civil Engineering,7,4,34502,41777,2000954206851,925500248,2363,13,,241,2041,776,345,564,897,339,91,366,1478,427,263,430,34,80,163,49,103,1,53,105,3,1500,190,401,729,1579,161,201,957,483,3,2025
9,2,EMP00002,Employee 2,0,0198572190436,employee2@example.com,1,Assistant Professor,Civil Engineering,7,4,34502,41777,2000954206851,925500248,2363,13,,241,2041,776,345,564,897,339,91,366,1478,427,263,430,34,80,163,49,103,1,53,105,3,1500,190,401,729,1579,161,201,957,483,4,2025
10,2,EMP00002,Employee 2,0,0198572190436,employee2@example.com,1,Assistant Professor,Civil Engineering,7,4,34502,41777,2000954206851,925500248,2363,13,,241,2041,776,345,564,897,339,91,366,1478,427,263,430,34,80,163,49,103,1,53,105,3,1500,190,401,729,1579,161,201,957,483,5,2025
11,3,EMP00003,Employee 3,1,0198428740110,employee3@example.com,2,Professor,Electrical and Electronic Engineering,7,8,44253,75591,2000506019796,695614415,337,366,,1076,791,921,216,763,187,379,492,40,1180,14,300,64,344,70,8,87,128,135,62,138,80,391,162,418,288,378,1796,489,230,40,1,2025
12,3,EMP00003,Employee 3,1,0198428740110,employee3@example.com,2,Professor,Electrical and Electronic Engineering,7,8,44253,75591,2000506019796,695614415,337,366,,1076,791,921,216,763,187,379,492,40,1180,14,300,64,344,70,8,87,128,135,62,138,80,391,162,418,288,378,1796,489,230,40,2,2025
13,3,EMP00003,Employee 3,1,0198428740110,employee3@example.com,2,Professor,Electrical and Electronic Engineering,7,8,44253,75591,2000506019796,695614415,337,366,,1076,791,921,216,763,187,379,492,40,1180,14,300,64,344,70,8,87,128,135,62,138,80,391,162,418,288,378,1796,489,230,40,3,2025
